Food,Type,Price,Quantity,Units,Location,City,FDC
Ground Turkey,Protein,0.4369,1,ounce,Whole Foods,Berkeley,402531
Ground Turkey,Protein,6.49,1,lbs,Berkeley Bowl,Berkeley,402531
Ground Turkey,Protein,4.49,1,lbs,Trader Joe's,Berkeley,402531
Ground Turkey,Protein,2.5,1,lbs,Foods Co,Richmond,402531
Legumes(Lentils),Protein,0.1,1,ounce,Whole Foods,Berkeley,402024
Legumes(Lentils),Protein,2.79,1,lbs,Berkeley Bowl,Berkeley,402024
Legumes(Lentils),Protein,,,,Trader Joe's,Berkeley,402024
Legumes(Lentils),Protein,1.49,1,lbs,Foods Co,Richmond,402024
Eggs,Protein,2.99,12,eggs,Whole Foods,Berkeley,358339
Eggs,Protein,3.49,12,eggs,Berkeley Bowl,Berkeley,358339
Eggs,Protein,1.99,12,eggs,Trader Joe's,Berkeley,358339
Eggs,Protein,1.99,12,eggs,Foods Co,Richmond,358339
Wild Salmon,Protein,12.99,1,lbs,Whole Foods,Berkeley,388511
Wild Salmon,Protein,14.99,1,lbs,Berkeley Bowl,Berkeley,388511
Wild Salmon,Protein,9.99,1,lbs,Trader Joe's,Berkeley,388511
Wild Salmon,Protein,7.99,1,lbs,Foods Co,Richmond,388511
Scallop,Protein,22.99,1,lbs,Whole Foods,Berkeley,343572
Scallop,Protein,23.99,1,lbs,Berkeley Bowl,Berkeley,343572
Scallop,Protein,17.99,1,lbs,Trader Joe's,Berkeley,343572
Scallop,Protein,,,,Foods Co,Richmond,343572
Shrimp,Protein,9.99,1,lbs,Whole Foods,Berkeley,452111
Shrimp,Protein,11.99,1,lbs,Berkeley Bowl,Berkeley,452111
Shrimp,Protein,9.99,1,lbs,Trader Joe's,Berkeley,452111
Shrimp,Protein,9.79,1,lbs,Foods Co,Richmond,452111
Milk,Protein,5.99,1,gallon,Whole Foods,Berkeley,576507
Milk,Protein,2.99,0.5,gallon,Berkeley Bowl,Berkeley,576507
Milk,Protein,6.98,1,gallon,Trader Joe's,Berkeley,576507
Milk,Protein,3.29,1,gallon,Foods Co,Richmond,576507
Yogurt,Protein,0.89,6,ounce,Berkeley Bowl,Berkeley,542027
Yogurt,Protein,0.14,1,ounce,Whole Foods,Berkeley,482381
Yogurt,Protein,0.99,5.3,ounce,Trader Joe's,Berkeley,373595
Yogurt,Protein,1,5.3,ounce,Foods Co,Richmond,463561
Chicken,Protein,2.99,1,lbs,Whole Foods,Berkeley,357547
Chicken,Protein,1.99,1,lbs,Berkeley Bowl,Berkeley,357547
Chicken,Protein,1.69,1,lbs,Trader Joe's,Berkeley,357547
Chicken,Protein,2.49,1,lbs,Foods Co,Richmond,357547
